Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
goat,5,103.4,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
goat,9,101.3,loss of appetite,lameness,depression,blackleg
cow,8,101.9,swelling in extremities,sweats,chills,anthrax
goat,7,100.5,blisters on tongue,loss of appetite,lameness,foot and mouth
buffalo,11,103.5,depression,painless lumps,loss of appetite,pneumonia
goat,6,100.9,painless lumps,depression,loss of appetite,pneumonia
cow,13,101,difficulty walking,loss of appetite,sores on gums,foot and mouth
cow,14,102.2,fatigue,swelling in abdomen,sweats,anthrax
goat,5,105,loss of appetite,painless lumps,depression,lumpy virus
goat,5,101.7,difficulty walking,loss of appetite,blisters on mouth,foot and mouth
buffalo,10,100.5,depression,painless lumps,loss of appetite,lumpy virus
cow,6,102.5,sores on hooves,difficulty walking,loss of appetite,foot and mouth
cow,14,100.9,painless lumps,depression,loss of appetite,pneumonia
buffalo,10,101.5,loss of appetite,depression,painless lumps,lumpy virus
goat,9,104.2,painless lumps,loss of appetite,depression,lumpy virus
cow,4,101.1,painless lumps,loss of appetite,depression,lumpy virus
buffalo,4,102.4,depression,loss of appetite,painless lumps,pneumonia
sheep,7,102.5,depression,loss of appetite,crackling sound,blackleg
buffalo,7,100.8,loss of appetite,depression,painless lumps,pneumonia
buffalo,8,103,chills,swelling in extremities,chest discomfort,anthrax
buffalo,10,104.1,chest discomfort,fatigue,swelling in abdomen,anthrax
goat,9,100.7,sores on tongue,loss of appetite,difficulty walking,foot and mouth
goat,3,101.8,swelling in neck,chills,chest discomfort,anthrax
buffalo,1,103.5,depression,painless lumps,loss of appetite,pneumonia
goat,5,104.1,painless lumps,loss of appetite,depression,lumpy virus
cow,8,100.2,crackling sound,swelling in muscle,depression,blackleg
goat,10,102.4,chest discomfort,chills,sweats,anthrax
sheep,9,102.8,depression,painless lumps,loss of appetite,lumpy virus
sheep,1,102,depression,painless lumps,loss of appetite,pneumonia
sheep,7,100.1,depression,loss of appetite,painless lumps,lumpy virus
sheep,6,101.9,depression,loss of appetite,painless lumps,lumpy virus
goat,4,101.5,lameness,loss of appetite,sores on gums,foot and mouth
sheep,6,104.4,fatigue,swelling in extremities,chills,anthrax
cow,5,104.8,shortness of breath,sweats,chest discomfort,anthrax
cow,12,101.3,depression,loss of appetite,painless lumps,pneumonia
buffalo,7,101.5,depression,loss of appetite,painless lumps,pneumonia
cow,12,101.6,loss of appetite,blisters on hooves,lameness,foot and mouth
sheep,5,101,depression,crackling sound,lameness,blackleg
sheep,9,102.9,crackling sound,swelling in limb,lameness,blackleg
goat,8,100.3,painless lumps,depression,loss of appetite,lumpy virus
sheep,8,102.3,depression,loss of appetite,painless lumps,lumpy virus
sheep,3,104.8,loss of appetite,painless lumps,depression,lumpy virus
buffalo,1,101.7,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
sheep,3,102.5,depression,loss of appetite,painless lumps,pneumonia
cow,3,100.6,swelling in abdomen,chills,sweats,anthrax
cow,11,101.8,depression,painless lumps,loss of appetite,pneumonia
goat,1,102.1,difficulty walking,loss of appetite,crackling sound,blackleg
buffalo,1,102.2,loss of appetite,depression,painless lumps,pneumonia
sheep,9,104.9,sores on hooves,difficulty walking,loss of appetite,foot and mouth
sheep,7,100,sores on mouth,loss of appetite,difficulty walking,foot and mouth
sheep,6,100.5,difficulty walking,sores on mouth,loss of appetite,foot and mouth
buffalo,3,100.6,sores on gums,loss of appetite,lameness,foot and mouth
sheep,10,100.5,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
cow,11,103,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
cow,5,102,shortness of breath,fatigue,chills,anthrax
sheep,4,104.4,swelling in neck,chills,shortness of breath,anthrax
sheep,1,100.6,painless lumps,loss of appetite,depression,lumpy virus
sheep,8,100.3,depression,painless lumps,loss of appetite,lumpy virus
goat,10,103.3,loss of appetite,painless lumps,depression,pneumonia
buffalo,13,102.8,loss of appetite,sores on tongue,lameness,foot and mouth
cow,4,101.1,sweats,chest discomfort,shortness of breath,anthrax
cow,13,103.4,loss of appetite,sores on mouth,lameness,foot and mouth
cow,9,102.6,depression,loss of appetite,painless lumps,pneumonia
buffalo,6,101.2,fatigue,sweats,shortness of breath,anthrax
goat,5,100.2,shortness of breath,fatigue,swelling in abdomen,anthrax
goat,8,102.8,swelling in limb,loss of appetite,crackling sound,blackleg
buffalo,6,101.2,depression,difficulty walking,crackling sound,blackleg
sheep,9,100.6,loss of appetite,sores on gums,lameness,foot and mouth
buffalo,14,102.7,painless lumps,loss of appetite,depression,lumpy virus
cow,6,100.9,difficulty walking,loss of appetite,sores on gums,foot and mouth
goat,3,103.9,loss of appetite,depression,painless lumps,lumpy virus
buffalo,13,102.7,shortness of breath,sweats,chest discomfort,anthrax
goat,2,103.3,swelling in abdomen,sweats,shortness of breath,anthrax
goat,5,102.7,crackling sound,difficulty walking,loss of appetite,blackleg
sheep,1,104.5,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
buffalo,13,103.2,chest discomfort,fatigue,shortness of breath,anthrax
sheep,6,101.4,blisters on gums,lameness,loss of appetite,foot and mouth
buffalo,6,103.6,depression,swelling in muscle,loss of appetite,blackleg
buffalo,1,104.2,shortness of breath,sweats,chills,anthrax
cow,15,100.9,sores on tongue,loss of appetite,difficulty walking,foot and mouth
buffalo,13,100.3,sores on hooves,difficulty walking,loss of appetite,foot and mouth
sheep,1,102.7,loss of appetite,depression,painless lumps,lumpy virus
buffalo,1,104,swelling in neck,chest discomfort,chills,anthrax
cow,15,104.3,depression,painless lumps,loss of appetite,pneumonia
cow,14,101.9,loss of appetite,depression,painless lumps,pneumonia
goat,8,101.2,loss of appetite,painless lumps,depression,pneumonia
buffalo,12,101.7,sores on hooves,lameness,loss of appetite,foot and mouth
cow,9,100.2,lameness,sores on gums,loss of appetite,foot and mouth
cow,7,104.3,crackling sound,depression,difficulty walking,blackleg
sheep,10,103.6,painless lumps,depression,loss of appetite,lumpy virus
sheep,3,101.9,swelling in muscle,crackling sound,depression,blackleg
sheep,6,100.5,difficulty walking,blisters on gums,loss of appetite,foot and mouth
buffalo,3,104.5,depression,loss of appetite,painless lumps,lumpy virus
buffalo,7,103.1,depression,painless lumps,loss of appetite,pneumonia
goat,10,101.3,depression,lameness,swelling in limb,blackleg
goat,6,100.4,crackling sound,swelling in limb,depression,blackleg
buffalo,11,102.8,loss of appetite,depression,painless lumps,pneumonia
buffalo,13,100.6,lameness,crackling sound,swelling in limb,blackleg
goat,9,101.3,painless lumps,depression,loss of appetite,pneumonia
cow,2,101.9,depression,loss of appetite,painless lumps,lumpy virus
goat,7,100.3,painless lumps,depression,loss of appetite,lumpy virus
sheep,10,102.8,depression,painless lumps,loss of appetite,lumpy virus
sheep,1,103.3,depression,loss of appetite,painless lumps,pneumonia
buffalo,14,100.7,sores on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,9,100.7,chills,sweats,shortness of breath,anthrax
buffalo,10,100.1,difficulty walking,swelling in limb,depression,blackleg
cow,6,102.5,difficulty walking,loss of appetite,blisters on mouth,foot and mouth
buffalo,4,104.5,loss of appetite,painless lumps,depression,lumpy virus
cow,10,100.2,fatigue,sweats,shortness of breath,anthrax
sheep,2,100.8,chills,shortness of breath,swelling in extremities,anthrax
goat,9,102.9,crackling sound,difficulty walking,depression,blackleg
sheep,10,101.4,painless lumps,loss of appetite,depression,pneumonia
goat,10,105,loss of appetite,depression,painless lumps,pneumonia
cow,7,102.1,swelling in extremities,chills,shortness of breath,anthrax
cow,3,101.6,difficulty walking,loss of appetite,crackling sound,blackleg
sheep,8,104.4,fatigue,chills,shortness of breath,anthrax
goat,7,102,depression,painless lumps,loss of appetite,pneumonia
buffalo,13,104.5,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
cow,13,100.1,lameness,blisters on hooves,loss of appetite,foot and mouth
goat,1,101.7,crackling sound,swelling in limb,depression,blackleg
goat,1,101.8,painless lumps,depression,loss of appetite,lumpy virus
cow,6,101.2,chest discomfort,chills,sweats,anthrax
cow,5,100.1,swelling in muscle,lameness,loss of appetite,blackleg
sheep,2,100.9,painless lumps,loss of appetite,depression,pneumonia
buffalo,5,103.5,depression,painless lumps,loss of appetite,pneumonia
buffalo,2,102.3,crackling sound,swelling in limb,loss of appetite,blackleg
buffalo,5,100,depression,painless lumps,loss of appetite,lumpy virus
goat,9,101.8,depression,loss of appetite,painless lumps,pneumonia
goat,4,100.4,lameness,blisters on gums,loss of appetite,foot and mouth
buffalo,3,103.4,loss of appetite,painless lumps,depression,lumpy virus
sheep,5,104.3,chills,fatigue,sweats,anthrax
goat,6,101.6,chills,fatigue,swelling in neck,anthrax
goat,1,104.8,difficulty walking,depression,swelling in muscle,blackleg
cow,9,100.4,sweats,shortness of breath,chest discomfort,anthrax
cow,3,102.4,depression,loss of appetite,painless lumps,pneumonia
cow,6,101.5,painless lumps,loss of appetite,depression,lumpy virus
goat,9,103.8,loss of appetite,painless lumps,depression,lumpy virus
buffalo,4,104.5,shortness of breath,sweats,swelling in abdomen,anthrax
cow,14,101.7,difficulty walking,blisters on gums,loss of appetite,foot and mouth
goat,10,100.1,difficulty walking,depression,loss of appetite,blackleg
buffalo,15,100.2,blisters on gums,loss of appetite,difficulty walking,foot and mouth
sheep,4,100.3,painless lumps,loss of appetite,depression,lumpy virus
buffalo,11,101.4,loss of appetite,painless lumps,depression,pneumonia
cow,14,101.7,swelling in muscle,loss of appetite,depression,blackleg
sheep,4,101.9,loss of appetite,depression,painless lumps,pneumonia
sheep,6,100.7,sores on mouth,difficulty walking,loss of appetite,foot and mouth
goat,6,101.8,depression,lameness,crackling sound,blackleg
cow,2,101.7,lameness,loss of appetite,sores on mouth,foot and mouth
cow,14,100.9,painless lumps,loss of appetite,depression,lumpy virus
goat,4,102,loss of appetite,lameness,depression,blackleg
goat,4,102.7,fatigue,shortness of breath,swelling in abdomen,anthrax
buffalo,7,101,loss of appetite,crackling sound,difficulty walking,blackleg
cow,14,103.4,painless lumps,loss of appetite,depression,lumpy virus
goat,3,100.6,blisters on tongue,loss of appetite,lameness,foot and mouth
sheep,6,100.7,shortness of breath,sweats,swelling in extremities,anthrax
sheep,3,103.4,loss of appetite,sores on gums,lameness,foot and mouth
sheep,10,101.1,depression,loss of appetite,painless lumps,lumpy virus
goat,6,100.1,chest discomfort,sweats,shortness of breath,anthrax
sheep,6,102,sores on gums,loss of appetite,lameness,foot and mouth
cow,13,102.7,swelling in extremities,shortness of breath,chills,anthrax
buffalo,12,101.6,loss of appetite,lameness,blisters on tongue,foot and mouth
goat,1,102.8,swelling in neck,sweats,shortness of breath,anthrax
goat,5,100.9,painless lumps,depression,loss of appetite,lumpy virus
cow,11,103.7,crackling sound,depression,lameness,blackleg
buffalo,8,101.7,swelling in muscle,depression,lameness,blackleg
buffalo,11,102.9,swelling in limb,loss of appetite,depression,blackleg
sheep,9,104.3,difficulty walking,crackling sound,loss of appetite,blackleg
buffalo,10,103.2,depression,loss of appetite,painless lumps,lumpy virus
goat,3,101.3,depression,painless lumps,loss of appetite,pneumonia
sheep,6,103.6,lameness,loss of appetite,blisters on hooves,foot and mouth
buffalo,14,103.7,crackling sound,depression,swelling in muscle,blackleg
buffalo,2,103.7,loss of appetite,depression,painless lumps,lumpy virus
buffalo,11,102.9,swelling in abdomen,chills,shortness of breath,anthrax
buffalo,2,101.3,swelling in limb,depression,lameness,blackleg
goat,1,102,loss of appetite,depression,painless lumps,pneumonia
goat,6,100.5,painless lumps,loss of appetite,depression,pneumonia
buffalo,3,101.8,sores on hooves,lameness,loss of appetite,foot and mouth
cow,9,102.2,lameness,swelling in limb,loss of appetite,blackleg
buffalo,14,103.6,loss of appetite,painless lumps,depression,lumpy virus
cow,1,101.1,blisters on tongue,loss of appetite,lameness,foot and mouth
goat,9,104,painless lumps,depression,loss of appetite,lumpy virus
cow,3,101.4,blisters on hooves,lameness,loss of appetite,foot and mouth
buffalo,4,104.7,sweats,chills,chest discomfort,anthrax
goat,1,100.7,depression,painless lumps,loss of appetite,lumpy virus
buffalo,10,102.8,chest discomfort,fatigue,sweats,anthrax
sheep,10,104.6,depression,swelling in limb,lameness,blackleg
cow,5,101.1,depression,painless lumps,loss of appetite,lumpy virus
goat,4,103.6,swelling in muscle,depression,lameness,blackleg
cow,13,101.6,depression,painless lumps,loss of appetite,lumpy virus
sheep,6,103.4,chills,swelling in abdomen,shortness of breath,anthrax
cow,2,101.7,chest discomfort,swelling in neck,shortness of breath,anthrax
sheep,5,103.9,shortness of breath,swelling in extremities,sweats,anthrax
goat,6,104,chest discomfort,sweats,shortness of breath,anthrax
goat,6,103.9,lameness,loss of appetite,swelling in limb,blackleg
goat,3,104.9,loss of appetite,depression,lameness,blackleg
cow,4,103.9,painless lumps,depression,loss of appetite,lumpy virus
sheep,4,100.6,swelling in muscle,depression,difficulty walking,blackleg
buffalo,11,102.1,swelling in muscle,loss of appetite,crackling sound,blackleg
cow,10,100.5,crackling sound,swelling in limb,difficulty walking,blackleg
goat,9,102.5,swelling in abdomen,fatigue,sweats,anthrax
buffalo,6,104.4,loss of appetite,depression,painless lumps,pneumonia
buffalo,8,100.4,loss of appetite,depression,painless lumps,lumpy virus
cow,4,104.7,depression,loss of appetite,lameness,blackleg
cow,15,100.5,depression,painless lumps,loss of appetite,lumpy virus
goat,3,104.2,painless lumps,depression,loss of appetite,lumpy virus
cow,5,103.5,difficulty walking,depression,loss of appetite,blackleg
sheep,7,102.7,difficulty walking,swelling in limb,depression,blackleg
sheep,7,101,fatigue,chest discomfort,sweats,anthrax
buffalo,14,102,depression,painless lumps,loss of appetite,lumpy virus
buffalo,10,100.5,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
buffalo,7,101,depression,loss of appetite,difficulty walking,blackleg
cow,6,101.2,loss of appetite,depression,painless lumps,pneumonia
goat,5,101.8,swelling in muscle,loss of appetite,depression,blackleg
buffalo,3,101.6,painless lumps,loss of appetite,depression,pneumonia
sheep,6,101.1,loss of appetite,lameness,blisters on tongue,foot and mouth
cow,12,102,loss of appetite,difficulty walking,crackling sound,blackleg
cow,1,104.5,painless lumps,loss of appetite,depression,pneumonia
goat,4,103.3,fatigue,sweats,swelling in extremities,anthrax
cow,13,104.7,depression,swelling in muscle,loss of appetite,blackleg
goat,2,102.9,crackling sound,swelling in muscle,loss of appetite,blackleg
sheep,3,103.6,crackling sound,swelling in muscle,depression,blackleg
buffalo,1,101.4,difficulty walking,swelling in muscle,depression,blackleg
sheep,9,101.3,loss of appetite,swelling in limb,crackling sound,blackleg
cow,3,101.9,depression,painless lumps,loss of appetite,pneumonia
sheep,6,103,lameness,sores on mouth,loss of appetite,foot and mouth
buffalo,11,103.5,chills,fatigue,shortness of breath,anthrax
cow,10,102.9,loss of appetite,painless lumps,depression,pneumonia
buffalo,15,102.5,crackling sound,loss of appetite,depression,blackleg
goat,1,100.6,painless lumps,loss of appetite,depression,pneumonia
goat,3,104.3,loss of appetite,lameness,swelling in muscle,blackleg
buffalo,2,104.6,shortness of breath,fatigue,chills,anthrax
sheep,7,100.3,depression,loss of appetite,painless lumps,pneumonia
sheep,5,103.8,chills,chest discomfort,swelling in extremities,anthrax
buffalo,8,101.3,loss of appetite,crackling sound,lameness,blackleg
goat,10,104.9,sores on tongue,loss of appetite,difficulty walking,foot and mouth
goat,7,100.4,loss of appetite,swelling in muscle,difficulty walking,blackleg
sheep,10,102.4,swelling in limb,depression,crackling sound,blackleg
sheep,9,102.2,painless lumps,loss of appetite,depression,pneumonia
cow,10,100.7,loss of appetite,sores on hooves,lameness,foot and mouth
cow,3,100.5,painless lumps,loss of appetite,depression,pneumonia
cow,6,101.7,fatigue,chest discomfort,shortness of breath,anthrax
sheep,8,101.3,swelling in limb,loss of appetite,depression,blackleg
buffalo,8,100.8,depression,loss of appetite,painless lumps,lumpy virus
sheep,3,102.5,chest discomfort,chills,swelling in neck,anthrax
cow,11,102.7,painless lumps,depression,loss of appetite,pneumonia
sheep,2,104.4,depression,painless lumps,loss of appetite,pneumonia
buffalo,6,101.2,painless lumps,depression,loss of appetite,lumpy virus
sheep,6,100,chills,chest discomfort,fatigue,anthrax
buffalo,2,102,loss of appetite,lameness,sores on gums,foot and mouth
cow,13,100.5,crackling sound,lameness,loss of appetite,blackleg
goat,5,100.5,loss of appetite,depression,painless lumps,lumpy virus
goat,7,100.5,depression,painless lumps,loss of appetite,lumpy virus
goat,4,101.2,painless lumps,depression,loss of appetite,pneumonia
sheep,2,104.7,crackling sound,loss of appetite,lameness,blackleg
buffalo,7,102.7,chills,chest discomfort,swelling in abdomen,anthrax
sheep,4,104.4,difficulty walking,loss of appetite,sores on gums,foot and mouth
buffalo,6,100.2,loss of appetite,painless lumps,depression,lumpy virus
sheep,2,101.8,swelling in limb,crackling sound,loss of appetite,blackleg
goat,1,102.6,chest discomfort,sweats,fatigue,anthrax
goat,9,100.7,sores on gums,loss of appetite,lameness,foot and mouth
goat,7,103.6,chills,sweats,shortness of breath,anthrax
cow,15,100.1,chest discomfort,shortness of breath,swelling in extremities,anthrax
buffalo,3,100.1,lameness,blisters on gums,loss of appetite,foot and mouth
goat,6,100.2,loss of appetite,depression,painless lumps,pneumonia
sheep,4,101.2,shortness of breath,sweats,fatigue,anthrax
buffalo,12,102.6,chest discomfort,shortness of breath,swelling in abdomen,anthrax
goat,4,104,fatigue,chills,chest discomfort,anthrax
cow,4,103.7,swelling in muscle,loss of appetite,difficulty walking,blackleg
buffalo,6,101.6,loss of appetite,painless lumps,depression,lumpy virus
sheep,6,103.7,loss of appetite,swelling in muscle,difficulty walking,blackleg
buffalo,10,100.4,lameness,loss of appetite,sores on mouth,foot and mouth
cow,5,102.2,depression,painless lumps,loss of appetite,lumpy virus
buffalo,10,102.2,loss of appetite,lameness,depression,blackleg
buffalo,5,102,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
sheep,4,101.8,swelling in neck,chills,sweats,anthrax
sheep,9,101,painless lumps,depression,loss of appetite,pneumonia
sheep,9,102,loss of appetite,sores on hooves,lameness,foot and mouth
cow,15,103.5,painless lumps,depression,loss of appetite,pneumonia
cow,6,102.6,swelling in abdomen,fatigue,chills,anthrax
buffalo,10,102.7,depression,loss of appetite,painless lumps,pneumonia
cow,5,102.9,chills,sweats,fatigue,anthrax
sheep,2,102.9,sweats,chest discomfort,shortness of breath,anthrax
goat,4,100.2,loss of appetite,depression,painless lumps,lumpy virus
sheep,6,104,chills,swelling in extremities,fatigue,anthrax
buffalo,9,102.6,painless lumps,loss of appetite,depression,lumpy virus
buffalo,13,100.7,swelling in extremities,sweats,chest discomfort,anthrax
goat,5,104.3,painless lumps,loss of appetite,depression,lumpy virus
sheep,7,104,difficulty walking,sores on hooves,loss of appetite,foot and mouth
goat,5,100.4,painless lumps,depression,loss of appetite,lumpy virus
sheep,2,104.9,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
sheep,1,101.5,painless lumps,depression,loss of appetite,lumpy virus
cow,13,103.8,loss of appetite,difficulty walking,sores on tongue,foot and mouth
cow,13,100.4,loss of appetite,sores on hooves,lameness,foot and mouth
buffalo,12,103.1,loss of appetite,painless lumps,depression,lumpy virus
cow,15,103.6,sweats,chills,swelling in abdomen,anthrax
buffalo,11,102.1,loss of appetite,depression,painless lumps,lumpy virus
cow,5,103.1,loss of appetite,painless lumps,depression,pneumonia
sheep,9,101.2,fatigue,chills,shortness of breath,anthrax
goat,1,100.8,loss of appetite,difficulty walking,crackling sound,blackleg
cow,7,104.2,loss of appetite,sores on mouth,difficulty walking,foot and mouth
buffalo,10,104.4,depression,loss of appetite,painless lumps,lumpy virus
cow,7,102.6,chest discomfort,shortness of breath,swelling in neck,anthrax
cow,2,101.2,loss of appetite,depression,painless lumps,pneumonia
buffalo,13,101.3,difficulty walking,loss of appetite,crackling sound,blackleg
buffalo,3,103.5,depression,painless lumps,loss of appetite,lumpy virus
cow,6,104.8,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
cow,10,100.7,lameness,sores on hooves,loss of appetite,foot and mouth
buffalo,8,103.5,difficulty walking,depression,loss of appetite,blackleg
cow,1,104.4,chest discomfort,swelling in extremities,shortness of breath,anthrax
goat,7,101.4,depression,crackling sound,swelling in muscle,blackleg
cow,11,102.4,difficulty walking,loss of appetite,crackling sound,blackleg
sheep,5,101.9,loss of appetite,swelling in limb,crackling sound,blackleg
buffalo,6,101.3,difficulty walking,crackling sound,swelling in muscle,blackleg
sheep,3,104,shortness of breath,chills,sweats,anthrax
sheep,5,104.6,sores on mouth,lameness,loss of appetite,foot and mouth
cow,2,102.6,sweats,chest discomfort,swelling in extremities,anthrax
cow,5,100.3,swelling in abdomen,fatigue,sweats,anthrax
sheep,5,100.7,crackling sound,swelling in limb,depression,blackleg
cow,9,100.9,depression,painless lumps,loss of appetite,lumpy virus
goat,2,101.6,swelling in muscle,crackling sound,depression,blackleg
goat,9,101,loss of appetite,depression,painless lumps,lumpy virus
goat,5,100.3,difficulty walking,loss of appetite,sores on gums,foot and mouth
sheep,8,102.8,shortness of breath,chest discomfort,fatigue,anthrax
sheep,4,104.1,crackling sound,loss of appetite,swelling in limb,blackleg
buffalo,14,101.3,loss of appetite,depression,painless lumps,lumpy virus
goat,10,100.3,loss of appetite,painless lumps,depression,pneumonia
cow,13,102.4,painless lumps,depression,loss of appetite,pneumonia
cow,15,103.9,depression,painless lumps,loss of appetite,lumpy virus
cow,1,102.3,loss of appetite,painless lumps,depression,lumpy virus
goat,2,102.4,loss of appetite,depression,difficulty walking,blackleg
sheep,4,104.2,loss of appetite,depression,painless lumps,lumpy virus
buffalo,14,100.5,painless lumps,depression,loss of appetite,pneumonia
buffalo,5,103.7,loss of appetite,painless lumps,depression,pneumonia
goat,8,104.9,painless lumps,loss of appetite,depression,lumpy virus
cow,9,104.3,lameness,loss of appetite,depression,blackleg
buffalo,9,102.3,crackling sound,loss of appetite,swelling in limb,blackleg
cow,4,104.5,blisters on gums,loss of appetite,difficulty walking,foot and mouth
cow,1,102.7,depression,loss of appetite,painless lumps,lumpy virus
cow,7,102.7,painless lumps,loss of appetite,depression,lumpy virus
sheep,7,101.2,painless lumps,depression,loss of appetite,pneumonia
sheep,8,104.2,difficulty walking,sores on gums,loss of appetite,foot and mouth
goat,7,101.8,depression,painless lumps,loss of appetite,lumpy virus
cow,7,100.9,loss of appetite,lameness,swelling in muscle,blackleg
cow,7,102.6,depression,loss of appetite,painless lumps,lumpy virus
buffalo,13,104.3,painless lumps,loss of appetite,depression,pneumonia
goat,7,102.6,loss of appetite,depression,painless lumps,pneumonia
sheep,6,100.7,chills,swelling in extremities,sweats,anthrax
sheep,6,102.7,chills,fatigue,swelling in abdomen,anthrax
sheep,9,102.7,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
cow,8,100.5,difficulty walking,sores on tongue,loss of appetite,foot and mouth
buffalo,15,100.3,depression,loss of appetite,swelling in muscle,blackleg
buffalo,13,101,depression,crackling sound,swelling in muscle,blackleg
goat,4,101.2,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
cow,4,104,swelling in limb,crackling sound,depression,blackleg
cow,2,102.5,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
buffalo,7,102.4,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
goat,4,101.5,painless lumps,loss of appetite,depression,pneumonia
buffalo,10,103.1,sores on tongue,lameness,loss of appetite,foot and mouth
sheep,9,100.5,swelling in limb,lameness,crackling sound,blackleg
sheep,5,104.8,loss of appetite,depression,painless lumps,pneumonia
buffalo,1,102.6,chills,sweats,fatigue,anthrax
buffalo,3,104.6,depression,lameness,swelling in muscle,blackleg
sheep,6,103.1,loss of appetite,sores on gums,lameness,foot and mouth
goat,4,102.9,loss of appetite,painless lumps,depression,pneumonia
buffalo,8,103.2,fatigue,sweats,chills,anthrax
sheep,5,104.7,painless lumps,loss of appetite,depression,lumpy virus
cow,4,103.8,difficulty walking,sores on mouth,loss of appetite,foot and mouth
goat,9,100.2,difficulty walking,sores on tongue,loss of appetite,foot and mouth
goat,4,101,painless lumps,loss of appetite,depression,pneumonia
buffalo,2,102.3,loss of appetite,depression,difficulty walking,blackleg
goat,5,102.1,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
buffalo,5,101.8,loss of appetite,painless lumps,depression,pneumonia
cow,13,100,loss of appetite,depression,painless lumps,pneumonia
sheep,4,102.3,depression,loss of appetite,crackling sound,blackleg
goat,3,101.7,sweats,chills,swelling in extremities,anthrax
cow,2,100.7,swelling in extremities,shortness of breath,sweats,anthrax
sheep,7,104.8,depression,painless lumps,loss of appetite,lumpy virus
sheep,7,103.1,swelling in limb,crackling sound,difficulty walking,blackleg
goat,1,101,painless lumps,loss of appetite,depression,pneumonia
buffalo,5,101,painless lumps,depression,loss of appetite,lumpy virus
cow,11,102.3,difficulty walking,sores on gums,loss of appetite,foot and mouth
goat,9,103.3,depression,loss of appetite,painless lumps,lumpy virus
goat,7,100.9,sores on mouth,difficulty walking,loss of appetite,foot and mouth
sheep,7,100.8,painless lumps,depression,loss of appetite,lumpy virus
sheep,4,104.3,painless lumps,depression,loss of appetite,pneumonia
buffalo,4,101.5,sweats,shortness of breath,chills,anthrax
sheep,9,103,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
buffalo,9,100.8,depression,painless lumps,loss of appetite,lumpy virus
buffalo,10,103,chest discomfort,shortness of breath,sweats,anthrax
cow,5,100,painless lumps,loss of appetite,depression,lumpy virus
cow,9,103.6,depression,loss of appetite,painless lumps,lumpy virus
buffalo,11,102.3,crackling sound,depression,lameness,blackleg
sheep,5,100.3,swelling in muscle,depression,lameness,blackleg
goat,4,100.3,painless lumps,depression,loss of appetite,pneumonia
sheep,6,101.8,lameness,loss of appetite,sores on mouth,foot and mouth
goat,8,100.4,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
sheep,10,101.1,shortness of breath,sweats,swelling in extremities,anthrax
sheep,8,103.7,loss of appetite,painless lumps,depression,pneumonia
cow,7,103.4,lameness,sores on tongue,loss of appetite,foot and mouth
sheep,5,102.2,blisters on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,15,101.3,depression,difficulty walking,swelling in limb,blackleg
sheep,2,103.2,depression,painless lumps,loss of appetite,pneumonia
buffalo,3,101.5,shortness of breath,fatigue,swelling in extremities,anthrax
buffalo,1,102.1,shortness of breath,chest discomfort,swelling in neck,anthrax
cow,6,102.7,loss of appetite,sores on hooves,difficulty walking,foot and mouth
sheep,6,103.7,loss of appetite,depression,painless lumps,lumpy virus
goat,4,104.8,fatigue,shortness of breath,chills,anthrax
sheep,9,100.6,painless lumps,loss of appetite,depression,lumpy virus
cow,12,102,loss of appetite,depression,painless lumps,pneumonia
goat,8,100.8,loss of appetite,depression,painless lumps,pneumonia
sheep,1,100.9,difficulty walking,sores on mouth,loss of appetite,foot and mouth
buffalo,3,102.7,painless lumps,loss of appetite,depression,pneumonia
goat,3,104.1,loss of appetite,depression,painless lumps,lumpy virus
buffalo,15,100.7,sores on mouth,loss of appetite,difficulty walking,foot and mouth
cow,5,102.4,painless lumps,loss of appetite,depression,pneumonia
buffalo,9,101.7,sores on tongue,difficulty walking,loss of appetite,foot and mouth
sheep,9,104.4,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
cow,9,100.2,depression,loss of appetite,lameness,blackleg
sheep,1,104.2,depression,loss of appetite,painless lumps,lumpy virus
cow,5,101.8,painless lumps,loss of appetite,depression,lumpy virus
buffalo,11,102.8,swelling in extremities,shortness of breath,chills,anthrax
goat,7,102.5,lameness,blisters on gums,loss of appetite,foot and mouth
buffalo,15,103.9,swelling in muscle,depression,crackling sound,blackleg
cow,6,101.7,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
